CIDR,Starting IP,Ending IP
2.127.0.0/19,2.127.0.0,2.127.31.255
2.127.32.0/21,2.127.32.0,2.127.39.255
2.127.48.0/20,2.127.48.0,2.127.63.255
2.127.64.0/19,2.127.64.0,2.127.95.255
2.127.100.0/22,2.127.100.0,2.127.103.255
2.127.104.0/21,2.127.104.0,2.127.111.255
2.127.124.0/22,2.127.124.0,2.127.127.255
2.127.192.0/20,2.127.192.0,2.127.207.255
2.127.208.0/21,2.127.208.0,2.127.215.255
2.127.216.0/22,2.127.216.0,2.127.219.255
2.127.224.0/21,2.127.224.0,2.127.231.255
2.127.232.0/22,2.127.232.0,2.127.235.255
2.216.0.0/18,2.216.0.0,2.216.63.255
2.216.64.0/21,2.216.64.0,2.216.71.255
2.216.72.0/22,2.216.72.0,2.216.75.255
2.216.84.0/22,2.216.84.0,2.216.87.255
2.216.88.0/22,2.216.88.0,2.216.91.255
2.216.96.0/19,2.216.96.0,2.216.127.255
2.216.128.0/17,2.216.128.0,2.216.255.255
2.217.0.0/18,2.217.0.0,2.217.63.255
2.217.64.0/20,2.217.64.0,2.217.79.255
2.217.80.0/21,2.217.80.0,2.217.87.255
2.217.92.0/22,2.217.92.0,2.217.95.255
2.217.96.0/20,2.217.96.0,2.217.111.255
2.217.112.0/21,2.217.112.0,2.217.119.255
2.217.120.0/22,2.217.120.0,2.217.123.255
2.217.128.0/20,2.217.128.0,2.217.143.255
2.217.144.0/21,2.217.144.0,2.217.151.255
2.217.156.0/22,2.217.156.0,2.217.159.255
2.217.160.0/19,2.217.160.0,2.217.191.255
2.217.192.0/20,2.217.192.0,2.217.207.255
2.217.208.0/22,2.217.208.0,2.217.211.255
2.217.216.0/21,2.217.216.0,2.217.223.255
2.217.224.0/19,2.217.224.0,2.217.255.255
2.218.0.0/20,2.218.0.0,2.218.15.255
2.218.16.0/21,2.218.16.0,2.218.23.255
2.218.24.0/22,2.218.24.0,2.218.27.255
2.218.32.0/19,2.218.32.0,2.218.63.255
2.218.64.0/18,2.218.64.0,2.218.127.255
2.218.132.0/22,2.218.132.0,2.218.135.255
2.218.136.0/21,2.218.136.0,2.218.143.255
2.218.144.0/20,2.218.144.0,2.218.159.255
2.218.160.0/19,2.218.160.0,2.218.191.255
2.218.196.0/22,2.218.196.0,2.218.199.255
2.218.200.0/21,2.218.200.0,2.218.207.255
2.218.208.0/20,2.218.208.0,2.218.223.255
2.218.224.0/21,2.218.224.0,2.218.231.255
2.218.232.0/22,2.218.232.0,2.218.235.255
2.218.240.0/20,2.218.240.0,2.218.255.255
2.219.0.0/19,2.219.0.0,2.219.31.255
2.219.32.0/20,2.219.32.0,2.219.47.255
2.219.48.0/21,2.219.48.0,2.219.55.255
2.219.56.0/22,2.219.56.0,2.219.59.255
2.219.64.0/19,2.219.64.0,2.219.95.255
2.219.96.0/21,2.219.96.0,2.219.103.255
2.219.108.0/22,2.219.108.0,2.219.111.255
2.219.116.0/22,2.219.116.0,2.219.119.255
2.219.120.0/21,2.219.120.0,2.219.127.255
2.219.132.0/22,2.219.132.0,2.219.135.255
2.219.136.0/21,2.219.136.0,2.219.143.255
2.219.144.0/20,2.219.144.0,2.219.159.255
2.219.160.0/22,2.219.160.0,2.219.163.255
2.219.168.0/21,2.219.168.0,2.219.175.255
2.219.176.0/21,2.219.176.0,2.219.183.255
2.219.188.0/22,2.219.188.0,2.219.191.255
2.219.192.0/18,2.219.192.0,2.219.255.255
2.220.0.0/18,2.220.0.0,2.220.63.255
2.220.64.0/20,2.220.64.0,2.220.79.255
2.220.80.0/21,2.220.80.0,2.220.87.255
2.220.88.0/22,2.220.88.0,2.220.91.255
2.220.96.0/19,2.220.96.0,2.220.127.255
2.220.132.0/22,2.220.132.0,2.220.135.255
2.220.136.0/21,2.220.136.0,2.220.143.255
2.220.144.0/20,2.220.144.0,2.220.159.255
2.220.164.0/22,2.220.164.0,2.220.167.255
2.220.168.0/21,2.220.168.0,2.220.175.255
2.220.176.0/20,2.220.176.0,2.220.191.255
2.220.192.0/22,2.220.192.0,2.220.195.255
2.220.200.0/21,2.220.200.0,2.220.207.255
2.220.208.0/20,2.220.208.0,2.220.223.255
2.220.224.0/19,2.220.224.0,2.220.255.255
2.221.0.0/20,2.221.0.0,2.221.15.255
2.221.16.0/22,2.221.16.0,2.221.19.255
2.221.24.0/21,2.221.24.0,2.221.31.255
2.221.32.0/19,2.221.32.0,2.221.63.255
2.221.64.0/21,2.221.64.0,2.221.71.255
2.221.72.0/22,2.221.72.0,2.221.75.255
2.221.80.0/20,2.221.80.0,2.221.95.255
2.221.96.0/22,2.221.96.0,2.221.99.255
2.221.104.0/21,2.221.104.0,2.221.111.255
2.221.112.0/20,2.221.112.0,2.221.127.255
2.221.128.0/20,2.221.128.0,2.221.143.255
2.221.144.0/21,2.221.144.0,2.221.151.255
2.221.156.0/22,2.221.156.0,2.221.159.255
2.221.160.0/19,2.221.160.0,2.221.191.255
2.221.192.0/19,2.221.192.0,2.221.223.255
2.221.224.0/21,2.221.224.0,2.221.231.255
2.221.236.0/22,2.221.236.0,2.221.239.255
2.221.240.0/20,2.221.240.0,2.221.255.255
2.222.0.0/21,2.222.0.0,2.222.7.255
2.222.12.0/22,2.222.12.0,2.222.15.255
2.222.16.0/20,2.222.16.0,2.222.31.255
2.222.32.0/22,2.222.32.0,2.222.35.255
2.222.40.0/21,2.222.40.0,2.222.47.255
2.222.48.0/20,2.222.48.0,2.222.63.255
2.222.64.0/19,2.222.64.0,2.222.95.255
2.222.96.0/20,2.222.96.0,2.222.111.255
2.222.120.0/21,2.222.120.0,2.222.127.255
2.222.128.0/19,2.222.128.0,2.222.159.255
2.222.160.0/21,2.222.160.0,2.222.167.255
2.222.172.0/22,2.222.172.0,2.222.175.255
2.222.176.0/20,2.222.176.0,2.222.191.255
2.222.192.0/22,2.222.192.0,2.222.195.255
2.222.200.0/21,2.222.200.0,2.222.207.255
2.222.208.0/20,2.222.208.0,2.222.223.255
2.222.224.0/19,2.222.224.0,2.222.255.255
2.223.0.0/20,2.223.0.0,2.223.15.255
2.223.16.0/22,2.223.16.0,2.223.19.255
2.223.24.0/21,2.223.24.0,2.223.31.255
2.223.32.0/20,2.223.32.0,2.223.47.255
2.223.52.0/22,2.223.52.0,2.223.55.255
2.223.56.0/21,2.223.56.0,2.223.63.255
2.223.64.0/19,2.223.64.0,2.223.95.255
2.223.100.0/22,2.223.100.0,2.223.103.255
2.223.104.0/21,2.223.104.0,2.223.111.255
2.223.112.0/20,2.223.112.0,2.223.127.255
2.223.128.0/21,2.223.128.0,2.223.135.255
2.223.136.0/22,2.223.136.0,2.223.139.255
2.223.144.0/20,2.223.144.0,2.223.159.255
2.223.160.0/20,2.223.160.0,2.223.175.255
2.223.180.0/22,2.223.180.0,2.223.183.255
2.223.188.0/22,2.223.188.0,2.223.191.255
2.223.192.0/21,2.223.192.0,2.223.199.255
2.223.204.0/22,2.223.204.0,2.223.207.255
2.223.208.0/20,2.223.208.0,2.223.223.255
2.223.228.0/22,2.223.228.0,2.223.231.255
2.223.232.0/21,2.223.232.0,2.223.239.255
2.223.240.0/21,2.223.240.0,2.223.247.255
2.223.248.0/22,2.223.248.0,2.223.251.255
5.64.0.0/20,5.64.0.0,5.64.15.255
5.64.16.0/21,5.64.16.0,5.64.23.255
5.64.24.0/22,5.64.24.0,5.64.27.255
5.64.32.0/20,5.64.32.0,5.64.47.255
5.64.48.0/21,5.64.48.0,5.64.55.255
5.64.56.0/22,5.64.56.0,5.64.59.255
5.64.64.0/21,5.64.64.0,5.64.71.255
5.64.72.0/22,5.64.72.0,5.64.75.255
5.64.80.0/20,5.64.80.0,5.64.95.255
5.64.100.0/22,5.64.100.0,5.64.103.255
5.64.108.0/22,5.64.108.0,5.64.111.255
5.64.116.0/22,5.64.116.0,5.64.119.255
5.64.120.0/22,5.64.120.0,5.64.123.255
5.64.128.0/20,5.64.128.0,5.64.143.255
5.64.144.0/22,5.64.144.0,5.64.147.255
5.64.156.0/22,5.64.156.0,5.64.159.255
5.64.160.0/21,5.64.160.0,5.64.167.255
5.64.172.0/22,5.64.172.0,5.64.175.255
5.64.176.0/21,5.64.176.0,5.64.183.255
5.64.188.0/22,5.64.188.0,5.64.191.255
5.65.0.0/19,5.65.0.0,5.65.31.255
5.65.40.0/21,5.65.40.0,5.65.47.255
5.65.60.0/22,5.65.60.0,5.65.63.255
5.65.64.0/19,5.65.64.0,5.65.95.255
5.65.96.0/22,5.65.96.0,5.65.99.255
5.65.104.0/21,5.65.104.0,5.65.111.255
5.65.112.0/22,5.65.112.0,5.65.115.255
5.65.120.0/21,5.65.120.0,5.65.127.255
5.65.128.0/21,5.65.128.0,5.65.135.255
5.65.136.0/22,5.65.136.0,5.65.139.255
5.65.152.0/22,5.65.152.0,5.65.155.255
5.65.164.0/22,5.65.164.0,5.65.167.255
5.65.168.0/21,5.65.168.0,5.65.175.255
5.65.176.0/22,5.65.176.0,5.65.179.255
5.65.184.0/21,5.65.184.0,5.65.191.255
5.65.192.0/20,5.65.192.0,5.65.207.255
5.65.208.0/21,5.65.208.0,5.65.215.255
5.65.216.0/22,5.65.216.0,5.65.219.255
5.65.224.0/19,5.65.224.0,5.65.255.255
5.66.0.0/19,5.66.0.0,5.66.31.255
5.66.36.0/22,5.66.36.0,5.66.39.255
5.66.40.0/21,5.66.40.0,5.66.47.255
5.66.52.0/22,5.66.52.0,5.66.55.255
5.66.56.0/21,5.66.56.0,5.66.63.255
5.66.64.0/21,5.66.64.0,5.66.71.255
5.66.72.0/22,5.66.72.0,5.66.75.255
5.66.80.0/20,5.66.80.0,5.66.95.255
5.66.96.0/21,5.66.96.0,5.66.103.255
5.66.108.0/22,5.66.108.0,5.66.111.255
5.66.116.0/22,5.66.116.0,5.66.119.255
5.66.124.0/22,5.66.124.0,5.66.127.255
5.66.128.0/20,5.66.128.0,5.66.143.255
5.66.148.0/22,5.66.148.0,5.66.151.255
5.66.152.0/21,5.66.152.0,5.66.159.255
5.66.160.0/21,5.66.160.0,5.66.167.255
5.66.168.0/22,5.66.168.0,5.66.171.255
5.66.176.0/20,5.66.176.0,5.66.191.255
5.66.192.0/19,5.66.192.0,5.66.223.255
5.66.228.0/22,5.66.228.0,5.66.231.255
5.66.232.0/21,5.66.232.0,5.66.239.255
5.66.240.0/20,5.66.240.0,5.66.255.255
5.67.0.0/21,5.67.0.0,5.67.7.255
5.67.8.0/22,5.67.8.0,5.67.11.255
5.67.16.0/21,5.67.16.0,5.67.23.255
5.67.28.0/22,5.67.28.0,5.67.31.255
5.67.32.0/20,5.67.32.0,5.67.47.255
5.67.56.0/21,5.67.56.0,5.67.63.255
5.67.68.0/22,5.67.68.0,5.67.71.255
5.67.72.0/21,5.67.72.0,5.67.79.255
5.67.80.0/20,5.67.80.0,5.67.95.255
5.67.96.0/21,5.67.96.0,5.67.103.255
5.67.112.0/22,5.67.112.0,5.67.115.255
5.67.120.0/22,5.67.120.0,5.67.123.255
5.67.128.0/19,5.67.128.0,5.67.159.255
5.67.172.0/22,5.67.172.0,5.67.175.255
5.67.176.0/20,5.67.176.0,5.67.191.255
5.67.192.0/20,5.67.192.0,5.67.207.255
5.67.208.0/22,5.67.208.0,5.67.211.255
5.67.216.0/21,5.67.216.0,5.67.223.255
5.67.224.0/21,5.67.224.0,5.67.231.255
5.67.232.0/22,5.67.232.0,5.67.235.255
5.67.244.0/22,5.67.244.0,5.67.247.255
5.67.248.0/22,5.67.248.0,5.67.251.255
5.68.0.0/19,5.68.0.0,5.68.31.255
5.68.32.0/20,5.68.32.0,5.68.47.255
5.68.48.0/21,5.68.48.0,5.68.55.255
5.68.60.0/22,5.68.60.0,5.68.63.255
5.68.64.0/21,5.68.64.0,5.68.71.255
5.68.76.0/22,5.68.76.0,5.68.79.255
5.68.80.0/20,5.68.80.0,5.68.95.255
5.68.96.0/19,5.68.96.0,5.68.127.255
5.68.128.0/19,5.68.128.0,5.68.159.255
5.68.160.0/20,5.68.160.0,5.68.175.255
5.68.176.0/22,5.68.176.0,5.68.179.255
5.68.184.0/21,5.68.184.0,5.68.191.255
5.68.192.0/18,5.68.192.0,5.68.255.255
5.69.0.0/20,5.69.0.0,5.69.15.255
5.69.16.0/21,5.69.16.0,5.69.23.255
5.69.32.0/22,5.69.32.0,5.69.35.255
5.69.40.0/21,5.69.40.0,5.69.47.255
5.69.48.0/21,5.69.48.0,5.69.55.255
5.69.56.0/22,5.69.56.0,5.69.59.255
5.69.64.0/19,5.69.64.0,5.69.95.255
5.69.96.0/20,5.69.96.0,5.69.111.255
5.69.112.0/21,5.69.112.0,5.69.119.255
5.69.124.0/22,5.69.124.0,5.69.127.255
5.69.128.0/19,5.69.128.0,5.69.159.255
5.69.160.0/22,5.69.160.0,5.69.163.255
5.69.168.0/21,5.69.168.0,5.69.175.255
5.69.176.0/22,5.69.176.0,5.69.179.255
5.69.184.0/21,5.69.184.0,5.69.191.255
5.69.192.0/18,5.69.192.0,5.69.255.255
5.70.0.0/22,5.70.0.0,5.70.3.255
5.70.8.0/22,5.70.8.0,5.70.11.255
5.70.16.0/22,5.70.16.0,5.70.19.255
5.70.24.0/21,5.70.24.0,5.70.31.255
5.70.32.0/21,5.70.32.0,5.70.39.255
5.70.44.0/22,5.70.44.0,5.70.47.255
5.70.48.0/21,5.70.48.0,5.70.55.255
5.70.56.0/22,5.70.56.0,5.70.59.255
5.70.64.0/18,5.70.64.0,5.70.127.255
5.70.128.0/20,5.70.128.0,5.70.143.255
5.70.144.0/21,5.70.144.0,5.70.151.255
5.70.152.0/22,5.70.152.0,5.70.155.255
5.70.160.0/20,5.70.160.0,5.70.175.255
5.70.180.0/22,5.70.180.0,5.70.183.255
5.70.184.0/21,5.70.184.0,5.70.191.255
5.70.192.0/19,5.70.192.0,5.70.223.255
5.70.224.0/22,5.70.224.0,5.70.227.255
5.70.232.0/21,5.70.232.0,5.70.239.255
5.70.240.0/20,5.70.240.0,5.70.255.255
5.71.0.0/22,5.71.0.0,5.71.3.255
5.71.8.0/21,5.71.8.0,5.71.15.255
5.71.16.0/20,5.71.16.0,5.71.31.255
5.71.32.0/21,5.71.32.0,5.71.39.255
5.71.40.0/22,5.71.40.0,5.71.43.255
5.71.48.0/20,5.71.48.0,5.71.63.255
5.71.68.0/22,5.71.68.0,5.71.71.255
5.71.72.0/21,5.71.72.0,5.71.79.255
5.71.80.0/22,5.71.80.0,5.71.83.255
5.71.88.0/21,5.71.88.0,5.71.95.255
5.71.96.0/19,5.71.96.0,5.71.127.255
5.71.128.0/21,5.71.128.0,5.71.135.255
5.71.140.0/22,5.71.140.0,5.71.143.255
5.71.144.0/20,5.71.144.0,5.71.159.255
5.71.160.0/19,5.71.160.0,5.71.191.255
5.71.192.0/19,5.71.192.0,5.71.223.255
5.71.224.0/20,5.71.224.0,5.71.239.255
5.71.240.0/21,5.71.240.0,5.71.247.255
5.71.248.0/22,5.71.248.0,5.71.251.255
46.64.16.0/20,46.64.16.0,46.64.31.255
46.64.32.0/19,46.64.32.0,46.64.63.255
46.64.64.0/20,46.64.64.0,46.64.79.255
46.64.84.0/22,46.64.84.0,46.64.87.255
46.64.88.0/21,46.64.88.0,46.64.95.255
46.64.96.0/19,46.64.96.0,46.64.127.255
46.64.128.0/21,46.64.128.0,46.64.135.255
46.64.140.0/22,46.64.140.0,46.64.143.255
46.64.144.0/20,46.64.144.0,46.64.159.255
46.64.160.0/19,46.64.160.0,46.64.191.255
46.64.192.0/20,46.64.192.0,46.64.207.255
46.64.208.0/21,46.64.208.0,46.64.215.255
46.64.220.0/22,46.64.220.0,46.64.223.255
46.64.224.0/20,46.64.224.0,46.64.239.255
46.64.240.0/22,46.64.240.0,46.64.243.255
46.64.248.0/22,46.64.248.0,46.64.251.255
46.65.0.0/17,46.65.0.0,46.65.127.255
46.65.128.0/20,46.65.128.0,46.65.143.255
46.65.144.0/22,46.65.144.0,46.65.147.255
46.65.152.0/21,46.65.152.0,46.65.159.255
46.65.160.0/19,46.65.160.0,46.65.191.255
46.65.192.0/19,46.65.192.0,46.65.223.255
46.65.224.0/20,46.65.224.0,46.65.239.255
46.65.240.0/21,46.65.240.0,46.65.247.255
46.65.248.0/22,46.65.248.0,46.65.251.255
51.19.0.0/18,51.19.0.0,51.19.63.255
51.19.64.0/19,51.19.64.0,51.19.95.255
51.19.104.0/21,51.19.104.0,51.19.111.255
51.19.112.0/21,51.19.112.0,51.19.119.255
51.19.124.0/22,51.19.124.0,51.19.127.255
51.19.128.0/17,51.19.128.0,51.19.255.255
51.146.0.0/18,51.146.0.0,51.146.63.255
51.146.64.0/19,51.146.64.0,51.146.95.255
51.146.104.0/21,51.146.104.0,51.146.111.255
51.146.112.0/20,51.146.112.0,51.146.127.255
51.146.128.0/17,51.146.128.0,51.146.255.255
51.190.0.0/16,51.190.0.0,51.190.255.255
51.194.0.0/19,51.194.0.0,51.194.31.255
51.194.32.0/21,51.194.32.0,51.194.39.255
51.194.44.0/22,51.194.44.0,51.194.47.255
51.194.48.0/21,51.194.48.0,51.194.55.255
51.194.60.0/22,51.194.60.0,51.194.63.255
51.194.64.0/19,51.194.64.0,51.194.95.255
51.194.96.0/22,51.194.96.0,51.194.99.255
51.194.104.0/21,51.194.104.0,51.194.111.255
51.194.112.0/20,51.194.112.0,51.194.127.255
51.194.128.0/17,51.194.128.0,51.194.255.255
51.198.0.0/18,51.198.0.0,51.198.63.255
51.198.128.0/17,51.198.128.0,51.198.255.255
51.241.0.0/18,51.241.0.0,51.241.63.255
51.241.64.0/19,51.241.64.0,51.241.95.255
51.241.112.0/20,51.241.112.0,51.241.127.255
51.241.128.0/20,51.241.128.0,51.241.143.255
51.241.144.0/22,51.241.144.0,51.241.147.255
51.241.152.0/21,51.241.152.0,51.241.159.255
51.241.160.0/19,51.241.160.0,51.241.191.255
51.241.192.0/18,51.241.192.0,51.241.255.255
78.105.0.0/19,78.105.0.0,78.105.31.255
78.105.32.0/21,78.105.32.0,78.105.39.255
78.105.44.0/22,78.105.44.0,78.105.47.255
78.105.48.0/20,78.105.48.0,78.105.63.255
78.105.64.0/19,78.105.64.0,78.105.95.255
78.105.104.0/21,78.105.104.0,78.105.111.255
78.105.112.0/20,78.105.112.0,78.105.127.255
78.105.128.0/17,78.105.128.0,78.105.255.255
87.80.0.0/16,87.80.0.0,87.80.255.255
87.81.20.0/22,87.81.20.0,87.81.23.255
87.81.24.0/21,87.81.24.0,87.81.31.255
87.81.32.0/19,87.81.32.0,87.81.63.255
87.81.64.0/18,87.81.64.0,87.81.127.255
87.81.252.0/22,87.81.252.0,87.81.255.255
90.192.0.0/19,90.192.0.0,90.192.31.255
90.192.36.0/22,90.192.36.0,90.192.39.255
90.192.40.0/21,90.192.40.0,90.192.47.255
90.192.48.0/20,90.192.48.0,90.192.63.255
90.192.64.0/20,90.192.64.0,90.192.79.255
90.192.80.0/21,90.192.80.0,90.192.87.255
90.192.92.0/22,90.192.92.0,90.192.95.255
90.192.96.0/19,90.192.96.0,90.192.127.255
90.192.132.0/22,90.192.132.0,90.192.135.255
90.192.136.0/21,90.192.136.0,90.192.143.255
90.192.144.0/20,90.192.144.0,90.192.159.255
90.192.160.0/19,90.192.160.0,90.192.191.255
90.192.192.0/18,90.192.192.0,90.192.255.255
90.193.0.0/19,90.193.0.0,90.193.31.255
90.193.36.0/22,90.193.36.0,90.193.39.255
90.193.40.0/21,90.193.40.0,90.193.47.255
90.193.48.0/20,90.193.48.0,90.193.63.255
90.193.64.0/18,90.193.64.0,90.193.127.255
90.193.128.0/19,90.193.128.0,90.193.159.255
90.193.168.0/21,90.193.168.0,90.193.175.255
90.193.176.0/20,90.193.176.0,90.193.191.255
90.193.192.0/18,90.193.192.0,90.193.255.255
90.194.0.0/19,90.194.0.0,90.194.31.255
90.194.32.0/20,90.194.32.0,90.194.47.255
90.194.48.0/21,90.194.48.0,90.194.55.255
90.194.60.0/22,90.194.60.0,90.194.63.255
90.194.64.0/19,90.194.64.0,90.194.95.255
90.194.96.0/20,90.194.96.0,90.194.111.255
90.194.112.0/21,90.194.112.0,90.194.119.255
90.194.120.0/22,90.194.120.0,90.194.123.255
90.194.128.0/17,90.194.128.0,90.194.255.255
90.195.0.0/18,90.195.0.0,90.195.63.255
90.195.68.0/22,90.195.68.0,90.195.71.255
90.195.72.0/21,90.195.72.0,90.195.79.255
90.195.80.0/20,90.195.80.0,90.195.95.255
90.195.96.0/19,90.195.96.0,90.195.127.255
90.195.128.0/18,90.195.128.0,90.195.191.255
90.195.192.0/19,90.195.192.0,90.195.223.255
90.195.224.0/20,90.195.224.0,90.195.239.255
90.195.240.0/21,90.195.240.0,90.195.247.255
90.195.248.0/22,90.195.248.0,90.195.251.255
90.196.0.0/17,90.196.0.0,90.196.127.255
90.196.128.0/19,90.196.128.0,90.196.159.255
90.196.164.0/22,90.196.164.0,90.196.167.255
90.196.168.0/21,90.196.168.0,90.196.175.255
90.196.176.0/20,90.196.176.0,90.196.191.255
90.196.192.0/18,90.196.192.0,90.196.255.255
90.197.0.0/20,90.197.0.0,90.197.15.255
90.197.20.0/22,90.197.20.0,90.197.23.255
90.197.24.0/21,90.197.24.0,90.197.31.255
90.197.32.0/19,90.197.32.0,90.197.63.255
90.197.64.0/18,90.197.64.0,90.197.127.255
90.197.128.0/19,90.197.128.0,90.197.159.255
90.197.160.0/20,90.197.160.0,90.197.175.255
90.197.176.0/21,90.197.176.0,90.197.183.255
90.197.184.0/22,90.197.184.0,90.197.187.255
90.197.192.0/19,90.197.192.0,90.197.223.255
90.197.228.0/22,90.197.228.0,90.197.231.255
90.197.232.0/21,90.197.232.0,90.197.239.255
90.197.240.0/20,90.197.240.0,90.197.255.255
90.198.0.0/16,90.198.0.0,90.198.255.255
90.199.0.0/19,90.199.0.0,90.199.31.255
90.199.32.0/20,90.199.32.0,90.199.47.255
90.199.48.0/21,90.199.48.0,90.199.55.255
90.199.60.0/22,90.199.60.0,90.199.63.255
90.199.64.0/19,90.199.64.0,90.199.95.255
90.199.96.0/20,90.199.96.0,90.199.111.255
90.199.112.0/21,90.199.112.0,90.199.119.255
90.199.120.0/22,90.199.120.0,90.199.123.255
90.199.128.0/19,90.199.128.0,90.199.159.255
90.199.164.0/22,90.199.164.0,90.199.167.255
90.199.168.0/21,90.199.168.0,90.199.175.255
90.199.176.0/20,90.199.176.0,90.199.191.255
90.199.192.0/18,90.199.192.0,90.199.255.255
90.200.0.0/16,90.200.0.0,90.200.255.255
90.201.0.0/18,90.201.0.0,90.201.63.255
90.201.64.0/19,90.201.64.0,90.201.95.255
90.201.96.0/20,90.201.96.0,90.201.111.255
90.201.112.0/21,90.201.112.0,90.201.119.255
90.201.128.0/22,90.201.128.0,90.201.131.255
90.201.136.0/21,90.201.136.0,90.201.143.255
90.201.144.0/20,90.201.144.0,90.201.159.255
90.201.160.0/19,90.201.160.0,90.201.191.255
